time,flux,n
-0.6970833333333333,0.9999819398001824,70
-0.6912499999999999,1.0001078545734554,68
-0.6854166666666666,1.0000482797478796,70
-0.6795833333333333,0.9999625389764516,72
-0.67375,1.0001240952283657,69
-0.6679166666666666,1.0002080797528985,67
-0.6620833333333334,1.000146032459022,65
-0.65625,0.9999883771821121,70
-0.6504166666666666,1.0002700110364775,71
-0.6445833333333333,1.0002157092737285,69
-0.6387499999999999,1.0001447181625704,69
-0.6329166666666666,1.0000516470523657,68
-0.6270833333333333,1.000046819130772,68
-0.62125,1.0001397730737964,70
-0.6154166666666666,1.0001249610883978,70
-0.6095833333333334,1.0001878713543748,71
-0.60375,1.0002927765143643,69
-0.5979166666666667,1.0003040429667966,68
-0.5920833333333333,1.000137208076704,73
-0.5862499999999999,1.0001368515629032,67
-0.5804166666666666,1.000098823994466,69
-0.5745833333333333,1.0002561773734464,67
-0.56875,1.0001591455777914,71
-0.5629166666666666,1.0001128610918957,72
-0.5570833333333334,1.000131368140332,70
-0.55125,1.0001950853845285,68
-0.5454166666666667,1.0002309679296708,65
-0.5395833333333333,1.0001391182691255,67
-0.53375,1.0001956821071154,71
-0.5279166666666666,1.0001620038528962,66
-0.5220833333333332,1.000130891659495,67
-0.51625,1.0001612887766989,66
-0.5104166666666666,1.000155686534104,67
-0.5045833333333334,1.0001411430753289,71
-0.49875,1.0001047555481128,70
-0.49291666666666667,1.0002115954043147,71
-0.4870833333333333,1.0000863070832249,69
-0.48124999999999996,1.0001099708698553,70
-0.4754166666666666,1.0001336332491215,72
-0.46958333333333335,1.0001801848948553,71
-0.46375,1.000164179878139,72
-0.45791666666666664,1.000225784063174,69
-0.4520833333333333,1.0000924466674261,70
-0.44625,1.0000921783384018,74
-0.4404166666666667,1.0001027570478878,71
-0.4345833333333333,1.000282794129065,72
-0.42874999999999996,1.0002223241853785,69
-0.42291666666666666,1.0001165875468765,71
-0.4170833333333333,1.0001068710962322,73
-0.41125,1.0002983793222533,71
-0.40541666666666665,1.0001909137341125,71
-0.3995833333333333,1.0001282091533121,68
-0.39375,1.0001764583588362,70
-0.3879166666666667,1.00029462584693,73
-0.38208333333333333,1.0002096587868836,68
-0.37625,1.0000900325786328,68
-0.3704166666666666,1.00023311383519,65
-0.3645833333333333,1.0001623034960936,65
-0.35875,1.0001739847031614,70
-0.35291666666666666,1.0002577302074942,67
-0.3470833333333333,1.000081956410991,67
-0.34125,1.0001387594641644,65
-0.3354166666666667,1.0002315051721518,62
-0.32958333333333334,1.000272660810099,66
-0.32375,1.0002607126431684,63
-0.3179166666666666,1.000314414594893,63
-0.3120833333333333,1.0002225635048063,61
-0.30625,1.000281095501368,62
-0.30041666666666667,1.000282761828686,66
-0.2945833333333333,1.0002090928695395,63
-0.28875,1.0001978864062886,63
-0.2829166666666667,1.000244021153904,61
-0.27708333333333335,1.0002865195252326,62
-0.27125,1.00026082858853,65
-0.26541666666666663,1.000272242373076,62
-0.25958333333333333,1.0002489072525051,64
-0.25375000000000003,1.0002891422179765,61
-0.24791666666666667,1.0004433361739693,62
-0.24208333333333334,1.0001923428133166,66
-0.23625000000000002,1.0003889191940534,62
-0.23041666666666666,1.0002841946413814,64
-0.22458333333333333,1.000160992097559,61
-0.21875,1.0002906023280096,62
-0.21291666666666667,1.0002414866701073,66
-0.20708333333333334,1.0003983986608596,62
-0.20125,1.0002582381301348,64
-0.19541666666666668,1.0003168579516744,61
-0.18958333333333333,1.0002506087117684,62
-0.18374999999999997,1.0003789643889107,65
-0.17791666666666667,1.0002579069337305,62
-0.17208333333333337,1.0003449871190109,63
-0.16625,1.0003601300900353,58
-0.16041666666666665,1.0003216256424325,62
-0.15458333333333335,1.0003028820680016,64
-0.14875000000000005,1.0002962372740165,63
-0.1429166666666667,1.0003010311473488,64
-0.13708333333333333,1.0002664308057618,60
-0.13124999999999998,1.000337779421276,61
-0.12541666666666668,1.0003280053966415,64
-0.11958333333333337,1.00032937357866,67
-0.11375000000000002,1.0003057677817078,67
-0.10791666666666666,1.0002403256698928,65
-0.10208333333333336,0.9995608343498158,66
-0.09625000000000006,0.9989177683806056,68
-0.0904166666666667,0.998244339575557,66
-0.08458333333333334,0.9977148764475812,69
-0.07874999999999999,0.9976990527397568,64
-0.07291666666666669,0.997559311624312,65
-0.06708333333333338,0.9975367777159148,69
-0.06125000000000003,0.997430961217832,67
-0.05541666666666667,0.9974104754359948,69
-0.04958333333333331,0.9972412131581108,65
-0.04375000000000001,0.9970966279490783,66
-0.03791666666666671,0.9973735779644638,68
-0.03208333333333335,0.997287715564088,66
-0.026249999999999996,0.997166553059374,69
-0.020416666666666694,0.9970448408153856,65
-0.014583333333333393,0.9972069828764569,66
-0.008750000000000036,0.9971261015910212,69
-0.0029166666666666785,0.9972633517179258,67
0.0029166666666666785,0.9971806198595083,68
0.00874999999999998,0.9971128254113802,65
0.014583333333333282,0.99707876721141,66
0.02041666666666664,0.997178390184548,69
0.026249999999999996,0.9971893421379752,67
0.0320833333333333,0.9971666344503658,69
0.0379166666666666,0.9971342471031333,65
0.043749999999999956,0.9972432285321884,66
0.04958333333333331,0.9973167681981088,68
0.05541666666666667,0.9973845827950608,67
0.06124999999999997,0.9973149101167236,69
0.06708333333333327,0.9976455395249666,65
0.07291666666666663,0.9975080709412631,66
0.07874999999999999,0.9975413076702676,69
0.08458333333333329,0.9976538412731412,67
0.09041666666666659,0.9982444280229198,69
0.09624999999999995,0.998821309437893,65
0.1020833333333333,0.9996294066628535,66
0.10791666666666666,1.0002112360659596,69
0.11374999999999996,1.0002221174750687,66
0.11958333333333326,1.0002227111683428,68
0.12541666666666662,1.000204205293912,65
0.13124999999999998,1.00023117509652,66
0.13708333333333328,1.0001241565120689,69
0.14291666666666658,1.0002062310137827,67
0.14874999999999994,1.000325682186162,69
0.1545833333333333,1.0003385553544764,64
0.16041666666666665,1.000332116041169,66
0.16624999999999995,1.000259398084388,68
0.17208333333333325,1.0002886652086185,67
0.1779166666666666,1.0002982576958412,69
0.18374999999999997,1.0003014207784595,65
0.18958333333333333,1.000170587618915,66
0.19541666666666663,1.0000803768009607,68
0.20124999999999993,1.0001809610390169,67
0.20708333333333329,1.0003159641277897,69
0.21291666666666664,1.000094025780959,64
0.21874999999999994,1.0002737638397368,66
0.22458333333333325,1.0003342918333074,66
0.2304166666666666,1.000319836884381,63
0.23624999999999996,1.0002303111668371,65
0.24208333333333332,1.000344994233804,61
0.24791666666666662,1.0002239935731327,62
0.2537499999999999,1.0002683994274624,64
0.2595833333333333,1.0002275722157332,63
0.26541666666666663,1.0001384018366797,65
0.27124999999999994,1.0002295375554375,61
0.27708333333333324,1.0001728242956984,62
0.2829166666666666,1.0002202392280817,63
0.28874999999999995,1.0002690850867513,62
0.2945833333333333,1.0003024312635351,64
0.3004166666666666,1.0002045035971712,61
0.3062499999999999,1.0001912104567348,62
0.31208333333333327,1.0001630781331416,63
0.3179166666666666,1.0002390114628943,63
0.32375,1.0000903601782931,65
0.32958333333333334,1.0002163637514545,61
0.3354166666666667,1.0004025667827336,62
0.34124999999999994,1.0001937165272743,63
0.3470833333333332,1.0004093592835805,62
0.35291666666666655,1.0002593991357571,65
0.3587499999999999,1.0003384306948415,61
0.36458333333333326,1.0001651931760716,62
0.3704166666666666,1.000223605443031,64
0.37625,1.0002699178449437,62
0.38208333333333333,1.0002167818604661,64
0.3879166666666667,1.0000321268939594,61
0.39374999999999993,1.000232635296881,62
0.3995833333333332,1.0003647483114275,64
0.40541666666666654,1.0003034769239234,62
0.4112499999999999,1.0002877117060756,61
0.41708333333333325,1.000103591501873,56
0.4229166666666666,1.0001410256318557,57
0.42874999999999996,1.0001733310003673,60
0.4345833333333333,1.000343620879537,59
0.4404166666666667,1.0002584433626374,64
0.4462499999999999,1.0001153944684804,60
0.45208333333333317,1.0001910018370674,60
0.4579166666666665,1.0002364504137793,64
0.4637499999999999,1.0001335144440873,60
0.46958333333333324,0.9999964237202476,59
0.4754166666666666,1.0000932215644127,57
0.48124999999999996,1.0001006125324354,57
0.4870833333333333,1.0000576965326886,61
0.49291666666666667,1.0000815387360853,59
0.4987499999999999,1.000183611667986,60
0.5045833333333332,1.000158190557514,57
0.5104166666666665,1.000183937499873,57
0.5162499999999999,1.00000518560255,61
0.5220833333333332,1.0001400707649426,59
0.5279166666666666,1.000256269524991,60
0.53375,1.0000547766848733,57
0.5395833333333333,1.0001693962187093,57
0.5454166666666667,1.000236867644154,61
0.5512499999999999,1.0000720014581488,59
0.5570833333333332,1.000087618733815,60
0.5629166666666665,1.0002040267598709,57
0.5687499999999999,1.0000848776414888,57
0.5745833333333332,1.000123142564877,61
0.5804166666666666,1.0000733733395857,59
0.5862499999999999,1.000018656058411,60
0.5920833333333333,1.0001610515773935,57
0.5979166666666667,1.0000965594209392,57
0.60375,1.0000441073898116,61
0.6095833333333333,1.0002221465772827,59
0.6154166666666665,1.000072239873573,59
0.6212499999999999,1.0002277491033384,58
0.6270833333333332,1.0000963203090365,60
0.6329166666666666,1.0000730758345964,65
0.6387499999999999,1.0000526904494509,63
0.6445833333333333,1.000221192902682,63
0.6504166666666666,1.0000274179704407,62
0.65625,1.0001038608273656,62
0.6620833333333332,1.0002032815023707,64
0.6679166666666665,1.000052034839381,59
0.6737499999999998,1.0002039069120154,58
0.6795833333333332,1.0002438136800627,62
0.6854166666666666,1.000246940777486,60
0.6912499999999999,1.0001225455281075,61
0.6970833333333333,1.0002979024875394,57
